Iteracion,Configuracion,Metodo_Seleccion,Metodo_Cruce,Metodo_Mutacion,Mejor_Fitness,Mejor_generacion
3,4,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006366845376654108,134
3,5,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006438792662342596,250
3,6,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006448897196933909,297
3,7,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006426018761977959,266
3,8,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006406022307854774,298
3,9,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006398087289159264,256
3,10,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006412888151353754,225
4,1,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006396917814838264,284
4,2,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006415289904690612,233
4,3,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006433811066045121,272
4,4,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006410866254836743,270
4,5,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006399958785590811,121
4,6,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006430568697031017,289
4,7,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006390055297953158,238
4,8,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006422838980960676,290
4,9,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006409142493069274,269
4,10,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006395189253211383,255
5,1,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.000638951867309938,275
5,2,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006406949429815436,107
5,3,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006436446970757945,236
5,4,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006426676285694923,263
5,5,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006476071894819553,230
5,6,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006402963139337456,153
5,7,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006411533909460178,283
5,8,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006440249208810834,295
5,9,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.000638920005970771,208
5,10,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006450607298997065,280
6,1,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006408265551803185,276
6,2,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006406435645514941,208
6,3,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006393242619084603,249
6,4,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006446806868952786,299
6,5,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006419952564762076,217
6,6,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.000639803202753362,271
6,7,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006392226306377645,190
6,8,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006420191529077707,298
6,9,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006426989567945468,283
6,10,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006356344616000359,122
7,1,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006376729333061146,294
7,2,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006466860535650747,112
7,3,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006406447911742897,298
7,4,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006426468247167172,281
7,5,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006409142493069274,193
7,6,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006458601995935739,279
7,7,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006393559767116235,192
7,8,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006410424986151031,226
7,9,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006427308007660632,198
7,10,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.000639782895772221,171
